retour_id,commande_ref,produit_id,client_id,date_retour,motif,statut,montant_rembourse,canal_achat
1,VTE-0000328,4,2,2023-10-09,Ne correspond pas à la description,Accepté,279.08,magasin
2,VTE-0000347,24,35,2023-03-31,Changement d'avis,En cours,63.57,magasin
3,VTE-0000112,8,33,2024-09-08,Produit défectueux,Refusé,397.68,marketplace
4,VTE-0000113,15,38,2023-10-12,Produit défectueux,Accepté,1396.28,mobile
5,VTE-0000143,5,14,2023-12-11,Produit défectueux,Accepté,759.85,mobile
6,VTE-0000434,12,39,2023-09-28,Produit défectueux,En cours,1072.46,marketplace
7,VTE-0000041,18,19,2024-10-05,Changement d'avis,Accepté,1154.7,magasin
8,VTE-0000024,22,15,2023-10-24,Produit défectueux,Accepté,1732.97,marketplace
9,VTE-0000143,15,41,2024-01-09,Ne correspond pas à la description,Accepté,710.54,mobile
10,VTE-0000360,30,44,2024-10-25,Produit défectueux,Refusé,1269.96,web
11,VTE-0000084,15,25,2023-10-04,Livraison tardive,Refusé,439.23,mobile
12,VTE-0000432,25,50,2023-02-27,Ne correspond pas à la description,Accepté,1610.09,marketplace
13,VTE-0000138,3,14,2024-08-03,Livraison tardive,Accepté,425.25,marketplace
14,VTE-0000203,29,42,2024-04-14,Ne correspond pas à la description,Accepté,279.26,mobile
15,VTE-0000383,19,28,2024-08-20,Produit endommagé,Accepté,438.64,web
16,VTE-0000261,16,6,2023-02-18,Produit défectueux,Accepté,1254.89,marketplace
17,VTE-0000306,3,25,2024-01-26,Changement d'avis,En cours,1058.23,magasin
18,VTE-0000349,24,8,2024-11-29,Changement d'avis,Accepté,1537.2,mobile
19,VTE-0000058,10,28,2023-06-11,Produit endommagé,Accepté,1907.63,mobile
20,VTE-0000498,17,49,2023-07-02,Changement d'avis,Accepté,1741.04,mobile
21,VTE-0000431,21,33,2024-09-15,Ne correspond pas à la description,Accepté,747.83,web
22,VTE-0000277,25,34,2023-01-01,Changement d'avis,Accepté,977.21,magasin
23,VTE-0000476,12,20,2023-09-03,Produit défectueux,Accepté,1756.02,magasin
24,VTE-0000044,24,32,2023-03-12,Changement d'avis,Accepté,256.78,marketplace
25,VTE-0000485,18,11,2023-09-29,Changement d'avis,Refusé,846.28,web
26,VTE-0000476,18,49,2024-12-07,Ne correspond pas à la description,Accepté,797.98,mobile
27,VTE-0000225,29,34,2024-04-07,Produit défectueux,Accepté,449.39,mobile
28,VTE-0000011,19,36,2023-08-24,Changement d'avis,Accepté,14.38,magasin
29,VTE-0000118,3,3,2023-12-05,Produit défectueux,Refusé,476.01,marketplace
30,VTE-0000110,18,9,2024-08-07,Changement d'avis,En cours,485.99,marketplace
31,VTE-0000414,14,13,2023-04-07,Produit défectueux,En cours,708.6,marketplace
32,VTE-0000240,28,47,2023-02-25,Livraison tardive,Accepté,121.23,mobile
33,VTE-0000410,28,7,2023-09-12,Ne correspond pas à la description,Accepté,1072.57,web
34,VTE-0000217,6,18,2024-04-18,Ne correspond pas à la description,Accepté,886.26,magasin
35,VTE-0000026,21,35,2023-01-16,Produit défectueux,Accepté,332.62,marketplace
36,VTE-0000247,7,26,2023-03-02,Ne correspond pas à la description,En cours,4.31,marketplace
